sector,investment_count,investment_types,avg_return_pct,avg_price,volatility,top_performers,momentum_score
Entertainment,1,Stocks,3.55,57.47,0.0,"[{'symbol': 'NETWORK18', 'name': 'Network18 Media & Investments Limited', 'change_percent': 3.55}]",2.33
Household & Personal Products,7,Stocks,1.11,1182.2,0.99,"[{'symbol': 'EMAMILTD', 'name': 'Emami Limited', 'change_percent': 3.1}, {'symbol': 'HINDUNILVR', 'name': 'Hindustan Unilever Limited', 'change_percent': 1.29}, {'symbol': 'MARICO', 'name': 'Marico Limited', 'change_percent': 1.2}]",1.868
Auto Manufacturers,7,Stocks,0.11,5264.64,1.9,"[{'symbol': 'EICHERMOT', 'name': 'Eicher Motors Limited', 'change_percent': 2.4}, {'symbol': 'TVSMOTOR', 'name': 'TVS Motor Company Limited', 'change_percent': 2.01}, {'symbol': 'HEROMOTOCO', 'name': 'Hero MotoCorp Limited', 'change_percent': 1.19}]",1.086
Tobacco,1,Stocks,1.09,416.45,0.0,"[{'symbol': 'ITC', 'name': 'ITC Limited', 'change_percent': 1.09}]",0.8540000000000001
Building Materials,5,Stocks,0.1,9582.55,1.49,"[{'symbol': 'AMBUJACEM', 'name': 'Ambuja Cements Limited', 'change_percent': 2.57}, {'symbol': 'ACC', 'name': 'ACC Limited', 'change_percent': 0.35}, {'symbol': 'SHREECEM', 'name': 'Shree Cement Limited', 'change_percent': -0.44}]",0.762
Packaged Foods,3,Stocks,0.5,3048.3,0.77,"[{'symbol': 'NESTLEIND', 'name': 'Nestlé India Limited', 'change_percent': 1.28}, {'symbol': 'BRITANNIA', 'name': 'Britannia Industries Limited', 'change_percent': 0.47}, {'symbol': 'TATACONSUM', 'name': 'Tata Consumer Products Limited', 'change_percent': -0.26}]",0.746
Banks - Regional,6,Stocks,-0.51,1352.72,0.84,"[{'symbol': 'KOTAKBANK', 'name': 'Kotak Mahindra Bank Limited', 'change_percent': 0.7}, {'symbol': 'HDFCBANK', 'name': 'HDFC Bank Limited', 'change_percent': -0.3}, {'symbol': 'SBIN', 'name': 'State Bank of India', 'change_percent': -0.32}]",0.7260000000000002
Information Technology Services,9,Stocks,-1.67,2378.45,0.66,"[{'symbol': 'LTTS', 'name': 'L&T Technology Services Limited', 'change_percent': -0.78}, {'symbol': 'HCLTECH', 'name': 'HCL Technologies Limited', 'change_percent': -1.08}, {'symbol': 'TCS', 'name': 'Tata Consultancy Services Limited', 'change_percent': -1.11}]",0.6660000000000001
Medical Care Facilities,1,Stocks,0.64,7498.0,0.0,"[{'symbol': 'APOLLOHOSP', 'name': 'Apollo Hospitals Enterprise Limited', 'change_percent': 0.64}]",0.5840000000000001
Specialty Chemicals,2,Stocks,0.66,2650.4,1.14,"[{'symbol': 'ASIANPAINT', 'name': 'Asian Paints Limited', 'change_percent': 1.46}, {'symbol': 'PIDILITIND', 'name': 'Pidilite Industries Limited', 'change_percent': -0.15}]",0.5680000000000001
Credit Services,5,Stocks,-0.96,1136.67,0.47,"[{'symbol': 'RECLTD', 'name': 'REC Limited', 'change_percent': -0.49}, {'symbol': 'BAJFINANCE', 'name': 'Bajaj Finance Limited', 'change_percent': -0.64}, {'symbol': 'MUTHOOTFIN', 'name': 'Muthoot Finance Limited', 'change_percent': -0.75}]",0.33000000000000007
Utilities - Regulated Electric,2,Stocks,-0.46,311.08,0.77,"[{'symbol': 'POWERGRID', 'name': 'Power Grid Corporation of India Limited', 'change_percent': 0.09}, {'symbol': 'NTPC', 'name': 'NTPC Limited', 'change_percent': -1.0}]",-0.030000000000000027
Asset Management,1,Stocks,-0.62,5615.0,0.0,"[{'symbol': 'HDFCAMC', 'name': 'HDFC Asset Management Company Limited', 'change_percent': -0.62}]",-0.172
Broadcasting,3,Stocks,-1.11,276.38,0.67,"[{'symbol': 'SUNTV', 'name': 'Sun TV Network Limited', 'change_percent': -0.34}, {'symbol': 'TVTODAY', 'name': 'T.V. Today Network Limited', 'change_percent': -1.4}, {'symbol': 'ZEEL', 'name': 'Zee Entertainment Enterprises Limited', 'change_percent': -1.58}]",-0.19999999999999996
Luxury Goods,1,Stocks,-0.94,3316.0,0.0,"[{'symbol': 'TITAN', 'name': 'Titan Company Limited', 'change_percent': -0.94}]",-0.36399999999999993
Beverages - Brewers,1,Stocks,-1.06,1924.9,0.0,"[{'symbol': 'UBL', 'name': 'United Breweries Limited', 'change_percent': -1.06}]",-0.436
Other Industrial Metals & Mining,3,Stocks,-1.42,391.97,0.99,"[{'symbol': 'VEDL', 'name': 'Vedanta Limited', 'change_percent': -0.28}, {'symbol': 'MOIL', 'name': 'MOIL Limited', 'change_percent': -1.95}, {'symbol': 'HINDZINC', 'name': 'Hindustan Zinc Limited', 'change_percent': -2.04}]",-0.44999999999999996
Software - Infrastructure,1,Stocks,-1.14,8378.5,0.0,"[{'symbol': 'OFSS', 'name': 'Oracle Financial Services Software Limited', 'change_percent': -1.14}]",-0.48399999999999993
Drug Manufacturers - Specialty & Generic,9,Stocks,-3.47,2700.74,1.03,"[{'symbol': 'TORNTPHARM', 'name': 'Torrent Pharmaceuticals Limited', 'change_percent': -1.7}, {'symbol': 'ALKEM', 'name': 'Alkem Laboratories Limited', 'change_percent': -2.63}, {'symbol': 'GLENMARK', 'name': 'Glenmark Pharmaceuticals Limited', 'change_percent': -3.11}]",-0.48799999999999977
Steel,5,Stocks,-2.17,463.38,1.13,"[{'symbol': 'NMDC', 'name': 'NMDC Limited', 'change_percent': -0.47}, {'symbol': 'JSWSTEEL', 'name': 'JSW Steel Limited', 'change_percent': -1.96}, {'symbol': 'JINDALSTEL', 'name': 'Jindal Steel Limited', 'change_percent': -2.02}]",-0.5279999999999998
Specialty Industrial Machinery,1,Stocks,-1.24,3033.4,0.0,"[{'symbol': 'SIEMENS', 'name': 'Siemens Limited', 'change_percent': -1.24}]",-0.544
Farm & Heavy Construction Machinery,2,Stocks,-1.32,1704.92,1.05,"[{'symbol': 'ASHOKLEY', 'name': 'Ashok Leyland Limited', 'change_percent': -0.58}, {'symbol': 'ESCORTS', 'name': 'Escorts Kubota Limited', 'change_percent': -2.07}]",-0.602
Engineering & Construction,1,Stocks,-1.35,3587.3,0.0,"[{'symbol': 'LT', 'name': 'Larsen & Toubro Limited', 'change_percent': -1.35}]",-0.6100000000000001
Auto Parts,2,Stocks,-1.64,73172.92,0.47,"[{'symbol': 'MRF', 'name': 'MRF Limited', 'change_percent': -1.31}, {'symbol': 'APOLLOTYRE', 'name': 'Apollo Tyres Limited', 'change_percent': -1.97}]",-0.6779999999999998
Financial Conglomerates,1,Stocks,-1.63,1916.3,0.0,"[{'symbol': 'BAJAJFINSV', 'name': 'Bajaj Finserv Ltd.', 'change_percent': -1.63}]",-0.7779999999999998
Oil & Gas Integrated,1,Stocks,-1.75,236.79,0.0,"[{'symbol': 'ONGC', 'name': 'Oil and Natural Gas Corporation Limited', 'change_percent': -1.75}]",-0.8500000000000001
Aluminum,2,Stocks,-1.96,426.58,0.57,"[{'symbol': 'HINDALCO', 'name': 'Hindalco Industries Limited', 'change_percent': -1.55}, {'symbol': 'NATIONALUM', 'name': 'National Aluminium Company Limited', 'change_percent': -2.36}]",-0.89
Utilities - Regulated Gas,1,Stocks,-1.85,174.39,0.0,"[{'symbol': 'GAIL', 'name': 'GAIL (India) Limited', 'change_percent': -1.85}]",-0.9100000000000001
Marine Shipping,1,Stocks,-1.89,1347.1,0.0,"[{'symbol': 'ADANIPORTS', 'name': 'Adani Ports and Special Economic Zone Limited', 'change_percent': -1.89}]",-0.9339999999999999
Insurance - Life,2,Stocks,-2.12,1268.95,0.42,"[{'symbol': 'HDFCLIFE', 'name': 'HDFC Life Insurance Company Limited', 'change_percent': -1.83}, {'symbol': 'SBILIFE', 'name': 'SBI Life Insurance Company Limited', 'change_percent': -2.42}]",-0.9560000000000001
Beverages - Non-Alcoholic,1,Stocks,-1.95,511.9,0.0,"[{'symbol': 'VBL', 'name': 'Varun Beverages Limited', 'change_percent': -1.95}]",-0.97
Oil & Gas Refining & Marketing,4,Stocks,-2.47,564.1,1.82,"[{'symbol': 'RELIANCE', 'name': 'Reliance Industries Limited', 'change_percent': 0.25}, {'symbol': 'IOC', 'name': 'Indian Oil Corporation Limited', 'change_percent': -3.15}, {'symbol': 'BPCL', 'name': 'Bharat Petroleum Corporation Limited', 'change_percent': -3.48}]",-1.046
Biotechnology,1,Stocks,-2.12,383.1,0.0,"[{'symbol': 'BIOCON', 'name': 'Biocon Limited', 'change_percent': -2.12}]",-1.072
Utilities - Independent Power Producers,1,Stocks,-2.12,389.3,0.0,"[{'symbol': 'TATAPOWER', 'name': 'Tata Power Company Limited', 'change_percent': -2.12}]",-1.072
Thermal Coal,2,Stocks,-2.53,1401.6,2.13,"[{'symbol': 'COALINDIA', 'name': 'Coal India Limited', 'change_percent': -1.02}, {'symbol': 'ADANIENT', 'name': 'Adani Enterprises Limited', 'change_percent': -4.03}]",-1.5439999999999996
Insurance - Diversified,1,Stocks,-3.1,1867.3,0.0,"[{'symbol': 'ICICIGI', 'name': 'ICICI Lombard General Insurance Company Limited', 'change_percent': -3.1}]",-1.66
Telecom Services,2,Stocks,-3.03,945.5,2.07,"[{'symbol': 'BHARTIARTL', 'name': 'Bharti Airtel Limited', 'change_percent': -1.56}, {'symbol': 'IDEA', 'name': 'Vodafone Idea Limited', 'change_percent': -4.49}]",-1.8319999999999999
